,Review,Ratings,Date
13, after 8 months staying at home we finally planned to travel and choose this hotel in Jaipur. Our trip to the pink city was amazing and specially this hotel made it even more beautiful and memorable. Also it was wedding to attend we enjoyed to our fullest good restaurants staff services every single person was so kind and caring o thank you front reception staff Ayushi & aditi for all there help,5, a review 14 Dec
14,tel is very beautiful lobby is grand and royal very professional staff they are so helping take care about everything this hotel is good for family n business gatherings I am very impressed with the staff here thankx to Ayushi she was kind and helpful,5,eview 14 Dec
15,"ayed with my family of my wife my 6 month old daughter and my parents in two interconnecting rooms with pool facing  . Hospitality was top notch. Stay was very comfortable! Special mention to  Mr Shreel Shukla who was very professional in handling lost and found, Ms Aaliya at the desk co-ordinated very well, Anand Singh and Ram Singh took good care of us.    Overall wonderful hotel with very committed staff .  Thanks to Mr Katyal for coordinating my reservation. ",5,j wrote a review 13 Dec
16, came with our family to celebrate my moms anniversary the hotel is very good beautiful and staff is so helping cooperative special thanks to ayushi n kanak for all the help arranging surprise for mom everything was amazing,5, a review 12 Dec
17,came with my wife to celebrate anniversary this was our first visit in itc jaipur hotel is very grand and beautiful restaurants are good thankx to ayushi for arranging surprise a cake for us also aditi was of great help too she helped about all places we can shop and go. very nice hospitality,5,wrote a review 12 Dec
18,was here for my business  work witg ky wife this hotel is must visit and most recommended place in jaipur grand lobby very good staff beautiful rooms and restaurants appreciate ayushi n kanak for telling us about hotel and accompanying my wife very caring,5,rote a review 12 Dec
19,d a great time! Ms Ayushi was of great help and she took care of everything we needed! It really was a lovely experience! They took great care of social distancing as well! All in all a great stay Cheers!,5,review 12 Dec
20,is hotel gives you the feeling of royal heritage palace beautifully build grand lobby with golden lamps staff so helping smooth check in and very good restaurants this hotel is must stay place in jaipur also ayush was very kind and helping she welcomed us at our arrival we were here for wedding and really enjoyed our stay aditi was also a great help all staff was kind and coperative will come soon,5,e wrote a review 11 Dec
21,ry happy and comfortable stay with the stay. Our entire family was so overwhelmed with this royal experience.  All the staffs were soo helpful and attentive towards their work  i will surely come back..   Thanks to everyone!,5,a review 11 Dec
22,ve stayed in many luxurious hotel and resorts but every time my stay with ITC is amazing and most memorable was here for my friends wedding stayed for 3 days everything was so good from welcoming rooms check in check out entire stay was very comfortable few staff who was very cooperative were ayushi helped us knowing about hotel restaurant lalit ji for all our luggage help and manoj for guiding and clucking picture,5,a review 11 Dec
23,ay was so fabulous. Much appreciated all the services from all departments. Wedding was so nicely arranged. Hotel is so beautifully designed and great location. Special mention to co operative staff Ms. Aditi and Concierge Manoj for guiding us so well for city tour a Nd amazing hotel tour.,5,la wrote a review 11 Dec
24, checked in here and stayed for three days from welcoming till the check out we were so happy really beautiful hotel and and wonderfull staff aditi and ayushi was very helpful most recommended hotel must visit,5,rote a review 11 Dec
25,have been to many hotels and this was first visit to itc Rajputana this hotel has its own charm an inspiration of history culture royality and hospitality very beautiful hotel and wonderful staff Thaknks to admit and ayushi,5,t wrote a review 10 Dec
26,ry lovely hotel very good services also staff very supportive and kind appreciate efforts of surya at check-in and Ayushi kanak in front desk for helping us royal experience with full of wedding enjoyment,5,review 9 Dec
27,e overall stay was too great. The hotel is situated in the  city centre offering all the luxury what one can ask for. The staff was so welcoming at every point. Mention to Aditi and ayushi for there help,5,rote a review 9 Dec
28, happy to choose the best hotel in jaipur very beautiful ambience lobby is so grand and lovely also staff at front desk veru quick and helping we checked in for two days a smooth stay very comfortable thanks to dependra kanak rohit nikunj ayushi and aditi for there support,5,ote a review 9 Dec
29, came without family for two days stay we really liked this hotel very grand royal ambience with beat services and very good helping staff thanks to aditi for her assistance and also ayushi and kanak for helping us making beautiful surprise for my wife birthday most recommend,5,te a review 9 Dec
30,visited ITC Raajputana for the wedding. It was so amazing. The hotel was so beautifully decorated with great ambience and royalty. Will recommend my family for further events. Staff was also so co operating. Hats off to the management also like to thanks few people aditi ji and ayushi for there kind help,5,review 9 Dec
31," came to this hotel two days back for wedding, hotel is very good and beautiful smooth check-in and very good hospitality thankx to aditi n ayushi for great help whenever needed lovely hotel and staff",5,e a review 9 Dec
32, were here for wedding beautiful ambience and wonderful staff services are so quick restaurants are great we enjoyed a lot even my kids loved the hotel thankx to the staff who were so good and helping few names who were very kind and helpful are rohit nikunj dependra shubham aditi kanak ayushi thankx to you all we had great Stay,5,review 9 Dec
33, stayed at the hotel to celebrate my parent's 25th anniversary. The hotel is beautiful and well maintained.  The staff is extremely helpful and sweet. Especially Mr Anil Sharma was really helpful and Mr Manoj Sharma helped a great deal in making the day for us. Had a great experience!!,5, wrote a review 9 Dec
34,checked in for wedding as a part of group beautiful hotel and lovely ambiance.. staff is so good and helping ayushi and kanak very kind. Enjoyed the services and really recommend this hotel must visit place,5, review 8 Dec
35,"reached in the morning at 03:14 hrs.  Quite an unearthly hour.  The staff (Mr. Dependra and Mr. Jasdeep) were very cordial and welcoming.  They made me comfortable.  In the morning I visited ""Kayakalp"",  hotel's Spa facility,  I found Spa Manager Ms Sanyogita Singh a thorough professional who not only put me at ease but astounded me with her deep knowledge about various exotic oils and their soothing effects on the human body.  The therapist Ms Katherine has a smooth hand and with her correct selection of spiritual music and rhythmic strokes she makes it a heavenly experience.  Although I have had the privilege of staying in some of the finest hotels world over but ITC Rajputana and Kayakalp totally won me over.  Next time I happen to come towards Jaipur or for that matter…",5,iew 7 Dec
36,"stayed in the ITC Rajputana for two days with my family of 6 people. The services provided to us were excellent including the breakfast services. The highlight for us during the morning gym session was their fitness trainer Mr Rajeev Parmar, he is excellent in his work. Kudos to him!",5, wrote a review 6 Dec
37,stayed in the ITC Rajputana for three days with my family of five people. The services provided to us were excellent including the breakfast services. The highlight for us during the breakfast services was Jacqueline who made sure we were served exactly what we ordered very quickly even though it was during a busy time ! Kudos to her !,5, wrote a review 5 Dec
38,y guys.. do check out the place. It was actually a memorable experience for us. Mr. Manoj Sharma was a great guide and has some great photography skills. Helped us in exploring the place to its fullest. Thankyou sir. It was an amazing trip.,5, review 4 Dec
39,visited itc rajputana in November 2020 and the hotel and staff was very polite and supportive. Help and facilities provided by Mr. SALMAN from ITC was tremendous. Definite recommendation to one an all planning Jaipur,5,e a review 1 Dec
40, came back after 7 months in this hotel I and my wife we both really enjoyed as always we always feel a home away from home it was nice to stay here after a long interval and appreciate the efforts put by ayushi and manoj ji all staff is very helpful kind always smiling.,5,rote a review Nov 2020
41,ry comfortable stay really liked the food of Peshawari and there are some people who made our stay memorable Kanak and ayushi always helped us and guide us for good shopping places manoj ji for clicking our nice pictures and Nayan ji,5, review Nov 2020
42,really thankful to Mr. Gokul ... Junior Chef for making my meal full with the Sweetness of Fudge. I really enjoy all dessert. But I like too much Specially Pistachios Chocolate Fudge.   Best of luck to Mr. Gokul.  ,5,e a review Nov 2020
43,"well satisfied stay with ITC. Karan, Aayushi, Pradeep, Prabhu, Dayal & Shreel made it memorable for me and my wife. Property was amazing and the special preparation my honeymoon made it heart touching.",5,wrote a review Nov 2020
44,autiful hotel and wonderful experience in this hotel really like the staff they are so kind and helpful few names fron front office team they were so amazing with all there services kanak Ayushi n manoj also thankful for luggage assistant team Dharmesh very kind and great,5,te a review Nov 2020
45, came here as a part of wedding and really enjoyed lot beautiful hotel and very cooperative staff. Thankx to Ayushi n manoj ji they were great for help most recommended hotel of Jaipur and definitely will plan for next trip soon,5,te a review Nov 2020
46,. Gokul menon junior chef service is very good.food is nice maintain the quality of food.the maintain hotel very safe due to covid-19. Room service is excellent. Room cleaning is nice. Room view is good,5,wrote a review Nov 2020
47,stayed in ITC Rajputana Jaipur with my family for 2N/3D in this month and checked out on 21st Nov i.e. last Saturday. My daughter accidentally left her pair of black boots in the room while checking out. Same night on 21st Nov i got a call from Shreel of ITC Rajputana informing me that his colleague Ishwar found a missing pair of black boots in one of the rooms checked out by us in the morning. I was pleasantly surprised on this call and felt great about ITC Rajputana and employees like Ishwar & Shreel who takes of customers to this extent. Shreel was kind enough to send the pair of black boots by blue dart courier to our address in Delhi and we revised the packet in next 2 days. Appreciate the par excellence customer services standards displayed by Ishwar & Shreel and would…,5,te a review Nov 2020
48, had a splendid stay alongwith with delicious food and commendable service every where.The vegetarian spread at all 3 restaurants was very good. Especially Hukum Singh and Vijay were very hospitable and helpful.,5,view Nov 2020
49,"had stayed at the hotel recently and attended a wedding wherein I was moved to see the amount of care taken for our safety and immaculate grounds of the hotel! I was touched by the service of the extremely welcoming staff especially by Chef Gokul Menon, who went beyond his way to cater to my needs. He especially came to visit us when he found us to be a little confused and extended his hospitality. He made sure to prepare the most lip smacking food for us and what touched us more was the way the food was delivered. The unparalleled gesture by the young Chef, made the food taste a 1000 times more tasty than it was! Hats off to you, Chef! May you strive to be the best! Congratulations to the team for putting in wonderful efforts. The stay was beyond comfortable and the rooms…",5,a review Nov 2020
50,"s apt to say that the hotel is taking  care of their guests to match with its luxury statement. They made everything packed / sealed- cutlery , water glasses, plates etc. to ensure its untouched as much as possible. Staff were so polite and courteous. Apart from its luxurious looks food offered was very good. Rooms are spacious with great pool side view and hotel is located in the very heart of city.",5, a review Nov 2020
51,"is is our first time in ITC Rajputana and it will be the last. From the moment we stepped out from our car our experiences has been nothing but dissapointing.  Hallways were dirty and rooms were old and looked dinzy.  No sleepers in the rooms, 1 robe for 2 people.   We had to change our room once and the AC did not work. We found out it was turned off and after cooked in our room when we called the front desk, the technician showed up with ladder to manually turn the AC on. The guests have to ask the hotel to manually turn the AC on then you can control it.  Jaipur Pavilion restaurant is open 24/7, service is terrible.   Overall we would never consider ITC and Marriott affiliated hotels in India. Because of terrible services.",1,eview Nov 2020
52,'s been a great pleasure to stay ai itc rajputana Jaipur... Ambience is no doubt more than amazing.. rooms are as gold rated  I would love to greet mr. Manoj Sharma for helping us out for photographs... Thnq soo much sir. For sure we'll be coming back n having the same pleasures 😄,5,review Nov 2020
53," had a great stay at the hotel and the food was amazing, but what we loved the most was this chef Gokul Menon. The way he interacts to the way he makes his food is just an experience by itself. This hotel is one place i would come again just and just for this man. This hotel is blessed with this personality.",5,review Nov 2020
54,"eat place to stay and very warm hospitality. Special thanks to Manoj Sharma at the Lobby who advised family to plan a surprise birthday cake and party. An awesome place and recommend stay at ITC, Jaipur. Will love to come back.",5,ava wrote a review Nov 2020
55,ite and safe place during Covid. Excellent disinfection protocol. Sumptuous food and courteous staff. Fewer people during Covid added to the charm Good deals to be had in food and beverages. Older staff and the new executive chef makes you feel special,5,eview Nov 2020
56," is one of the best experiences ,I had in a hotel. Right from the moment we checked in Mr.Manoj was a great help and made us feel at comfort.Embience, hospitality, food, rooms everything is just perfect. Thanks ITC Rajputana.",5,te a review Nov 2020
57," are here with my family. booked 6 rooms we planned to visit jaipur for our vacations very beautiful hotel and ambience we firstly interacyed with manoj he is so kind he guided us showed us the hotel also helped us about what to do in city where to go food is so good also few names to mention geeta, ayushi chef gokul they were helpful too very nice hotel",5,ote a review Nov 2020
58,azing experience in this hotel firstly i would like to mention manoj ji who is so kind and helpful he clicked pictures for us planned our sightseeing also staff here is so we are amazed with hospitality everything is possible here also like to mention restaurants the food is really nice we are enjoying here. Thankx to ayushi for caring us calling and asking everytime what we need how’s everything beautiful hotel,5,te a review Nov 2020
59, checked in yesterday with my family booked for the first time with ITC. We really enjoyed here everything is so good staff is so helpful and good we really like the front desk staff and also restaurants food is really nice thanks to manoj ji for planning everything what to do in city also ayushi for being so helpful also chef gokul he was great  we definitely recommend  this hotel to stay if you want to experience  best hospitality.,5,wrote a review Nov 2020
60," was a fabulous and memorable stay there. Rooms were clean ,cozy and comfortable Hospitality is too good, specially one of the staff Mr Nikunj who was so polite and was always there for any requirement to us. Things were properly sanitized ,Ambiance was also so peaceful and pleasant . Food was yum. Everything was so good that it really gave us so many reasons to share this awesome experience to others. Looking forward for more trips to Jaipur and stay at ITC Rajputana .✌",5,a review Nov 2020
61,"ts get the good out of the way.  This is a top resort in Jaipur. Beautifully made, spacious, comfortable rooms and friendly staff. The food is also fresh and delicious though the buffet spread for the price charged is quite less.  Aishwarya and Gokul, the two Sous Chefs are smart young lads, Approachable, polite and willing to make your stay better.  Ankur in house keeping is also a very helpful chap and extremely polite to deal with. So is Hukum Singh who was very courteous.  Now the bad.   Though the staff itself wears a mask at all times and there are sanitizers available across the property and other Covid precautions are in place  there is absolutely no  enforcement of any Covid protocols on guests.  The guests are free to roam around without a mask, without social…",1, a review Nov 2020
62, and my family staying at ITC Rajputana for 3 nights. Let me give you very honest feedback about the hotel. Hotel is beautiful and staff is very friendly and courteous. Specially Mr. Manoj sharma from concierge who is very knowledgeable about the city and have all the answers for all questions also Mr. Kushal singh Negi from security is very humble and always with the smiling face.,5,review Nov 2020
63,"visited Jaipur for a couple of dayson business and chise to stay at ITC Rajputana. The hotel is centrally located, with very comfortable rooms, friendly staff and offers legendary ITC food. Highly recommended for business and pleasure trips.",5, a review Nov 2020
64,"e moment we entered the palace, it  was a total bliss! Loved the way you guys welcomed. And sanitation was something that we look after especially from you people, and you haven’t failed us for this. Rooms were extremely comfortable. Loved your hospitality .Thank you for the fabulous stay!",5, a review Nov 2020
65,visited Jaipur in the month of november with my friends and i selected ITC Rajputana for my stay. We all really had an amazing and luxurious experience with ITC Rajputana and their services were great. Out stay was totally safe in this Covid-19 situation and everything was safe and good in their way. I would like to recommend everyone to choose ITC Rajputana if they want to feel the luxury in their trip.,5, review Nov 2020
66," had excellent stay at ITC Rajputana, Jaipur in Nov 2020. Staff is very cooperative, very well maintained property. Clean and Sanitised as required during this pandemic. Jitender Rathore at Jal Mahal Restaurant was really helpful with a smiling face.",5, a review Nov 2020
67,"d an wonderful stay of 3 nights at itc rajputana with things being more than perfect at times. I would want to thank manoj , gopal and akshay who made our stay more than comfortable.  Manoj : takes wonderful pictures and suggests places to click as well. P.s: the picture was clicked by him  Gopal: your man at the breakfast. Go for his suggestions without a thought  Akshay: Handsome man in the kitchen have t encountered a more courteous person in recent times.",5,te a review Nov 2020
68, stayed here for 2 days on our anniversary. Had an amazing time. The property gives you heritage royal feels and the staff is extremely courteous. Special thanks to Mr. Manoj for clicking our pictures and helping us with the city itinerary for the 2 days. Thanks for making our visit so memorable.,5,a review Nov 2020
69, was an amazing experience overall for the entire family. The food was awesome. We enjoyed the stay and it was very cozy. I would like to mention Manoj who clicked great pictures for us. All the places to visit are closeby and it would be a great weekend getaway,5, wrote a review Nov 2020
70,d a wonderful stay at itc rajputana. Aditi Razdan at the time of arrival and checkout was extremely helpful. Jacqueline was at my service throughout the stay and made me feel loved and cared. she took really good care of us and her service was excellent ! Very friendly. Kudos to her !! The stay at thikana suite was absolutely comfortable. Shreel shukla at housekeeping was also very courteous and  humble. I even enjoyed the food prepared by chef parul kapoor.,5,ote a review Nov 2020
71,"rgeous property,  the rooms are luxurious too. Service provided, breakfast, on site restaurants, and other amenities are top class. Pool was closed because of covid. They did have a little folk dance on one night. Highly recommend!",5,a review Nov 2020
72,azing hotel. Amazing hospitality staff is just amazing. The guest relation incharge is very help full her name is Aditi Razdan. The food was amazing. The washrooms were very clean and very quick service,5,eview Nov 2020
73,"e massage was very relaxing. The spa manager Sanyogita and the masseuse Andy were especially helpful, warm. Beautiful experience. Would Recommend the Kaya Kalp massage and pomegranate scrub. The ambience is amazing.",5, review Nov 2020
74,"strongly recommend you to stay at ITC Rajputana if you are travelling to Jaipur. Amazing food, property, services, people and stay at ITC Rajputana!!. They made our stay really good..... Thank you!!",5,e a review Nov 2020
75,"d yet again,  peshawari nailed it in terms of food and services. My visit to jaipur is worthless if I don't go peshawari and have its meals.  The services were up to the mark. Thanks to Rohit Atri for escorting us. His enthusiastical services regarding beverages and drinks were commendable.  It was an amazing experience visiting peshawari. Good job 👏",5,a review Nov 2020
76,d an excellent stay. The staff was very cordial and taking full precautions. Special mention for Mr Gagan Katyal who so well versed with the rich culture of the pink city. He guided us so well. We enjoyed our evenings by the pool side watching the traditional dances.  Thanks to the whole Itc team. Looking forward to our next visit.,5,ote a review Nov 2020
77,jputana is the magnificent and well maintained  property with grand interiors.Best hospitality with great ambiance. Excellent food. (Must try Dishes by Chef Gokul)  Humble staff.  Special thanks for Aditi for best services.,5,eview Nov 2020
78,"C Rajputana was my personal favourite place to visit. It was my Mom’s birthday so i wanted to give my parents a gift, nothing better to be a rememberable destination stay. I personally thank the crew and their lead Geeta Negi who helped me achieving what surprises my mom the most. The stay was calm, refreshing, cleaner rooms and beautiful pool view rajputana chambers. I want to thank Geeta who made all arrangements on a phone call as i am presently in Toronto, Ontario. My friends are already asking where the place is as the lobby and surroundings are such a piece of art, highly recommended,  100/100.   Thank you. ",5,wrote a review Nov 2020
79,"d a great and comfortable stay at ITC Rajputana.  Breakfast was really tasty, the staff members particularly Anamika at Sooryavanshee was really caring. I am also impressed the way hoteliers are taking necessary precaution in this pandemic.  Looking forward to visit again!   Regards Chirag Jalan 8011888947",5,ote a review Oct 2020
80,"d an amazing stay - all precautions linked to covid were more than adequately taken by the hotel! Excellent service and hospitality, and amazing food especially at Peshawari. Buffet breakfast was great and hotel ensured that there was no over-crowding of guests in any one location.",5,review Oct 2020
81,r stay at ITC Rajputana was made memorable by the excellent team at the hotel . Right from the welcome to the departure - all the staff members were super helpful and ensured that the stay is comfortable . The food served is amazing with the right blend of local cuisine and caters to the taste of everyone. The October fest concept is great with some nicely crafted international dishes. The most important part is the positive attitude of all the teams and we were happy to have made the choice to stay here. Our wishes to the team for continuing the amazing work.,5,e a review Oct 2020
82,at a great hotel with best services. Loved every part of it. It was a much needed break and we all had a great stay. The service are great with very warm and pleasant staff. Will like to recommend Ms. Aditi Razdan. Worth coming,5,ote a review Oct 2020
83,"eat property and amazing food ! We had a rajasthani thali with eathy mushroom bowl , both of which were superb, preparation however can take some time. Additionally an appreciate for the service by Mr. Jitendra and Mr. Thakur , our go to for everything , very humble and fast . Along with miss Lakshika , she was very sweet and helpful .  Also Breakfast had so many options , you can’t complain ! Love it overall. ☺️",5,ni wrote a review Oct 2020
84,"e food and the service was great. The staff was very friendly and polite. Thanks to Mr Jitendra for such amazing service at the restaurant.The food delivery was a bit slow, but overall the experience was good.",5,e a review Oct 2020
85,ved the stay.. be it the precautions in this tough pandemic time or be it the hospitality of the staff.. just loved the stay.. Special thanks to Mr. Manoj from the hotel who made our stay all the more memorable by clicking awesome pictures. Loved the experience.,5,review Oct 2020
86,"e food was absolutely delicious, Mr. Vivek was super curtious and the service was great! The taste was unmatched and the quality has been maintained over the years. All safety and hygiene precautions were taken. Even got the chance to meet Chef Hayat. Would definitely visit again! :D",5, review Oct 2020
87,"e place is nice , had a wonderful stay there and a special thanks to Mr Nikunj khandelwal , this guy was really helpful and it was pleasant talking to him , Thank you brother , the hotel is really beautiful and really had a pleasant stay there ♥️♥️",5,view Oct 2020
88,"e hotel stay was wonderful. The rooms are luxurious and comfortable. The Food, out of the World. Sanjeev (or Sanjiv) and Ojas took care of our palate and served some of the most delicious food we had ever eaten.  Thank you very much for the pleasent experience. Will recommend everyone going to Jaipur to come stay with them or atleast have food there.",5, a review Oct 2020
89,"ally good experience. Ojas in Jaipur pavilion was very good with his food suggestions, Dharmesh and Bhawani were very sweet and helpful with our baggages and also Ram who greeted us warmly at the gate. Thankyou ",5,review Oct 2020
90,"d an absolutely wow breakfast made by Chef Tarun , supremely talented and truly a wonderful man to be served by. Great variety and served with utmost love and affection. Served as you want the best that Chef Tarun does !!",5,rote a review Oct 2020
91," stayed at ITC Rajputana for my Parents anniversary. The overall experience at the hotel was outstanding.   Rohit from Front Office team helped us with a room upgrade which was very well convenient for my mother. Also, arranged a lovely cake from the anniversary which was a total surprise for my parents. Nayan from Bell boys team was very polite and helpful too. Lobby and the walking areas of the hotel are great and very well done.  Rooms were spacious, well cleaned and with all the required amenities.   To add up, Food variety, quality and presentation was out of the world. Chef Aishwarya and Chef Gokul did an amazing job of feeding us for all our meals. Chef Gokul’s south Indian preparations – Idli’s and the Mysore Dosa was outstanding. Also, we requested for trying Laal…",5, a review Oct 2020
92," stayed there for 2 nights on 21st and 22nd October 2020 and felt it was definitely a good choice. Infact, the perfect choice  The Covid protocols were maintained. The rooms sanitised and care taken to sanitize every table in the dining room as soon as a person leaves the table. We were in our own car and the parking slot available made it easier to self park ( valet system at the moment not there).  The decor of the dining restaurants are interestiung. Just a little observation- The Jal mahal either should have a water body or change the name. It has a composite culture with the pietrra dura work thrown in..so  change of name is possible. As for the buffet spread, not only was it huge, delicious but the care taken by the managers and service people made it extra special.…",5, review Oct 2020
93,ry tasty and amazing presentation good made by Chef Tarun and Jitender. They made my experience so wonderful and it is a pleasure for your tongue as well as your eyes. This food festival was based on German cuisine which did absolute justice to the food. Do meet this wonderful chef and have his food. Special recommendation by me,5,te a review Oct 2020
94,e food was awesome! Must try! Chef Jitendra and Tarun were  very interactive and friendly. They made the experience very memorable and enjoyable! I was absolutely delighted! Will recommend to other’s as well!,5,te a review Oct 2020
95,ef gokul showed his expertise in the food. He literally had his heart poured out on the table in the form of his food. Never had such a delightful south indian food in my entire life. Each and everything tasted in its very best.,5,te a review Oct 2020
96,"e ambience is fantastic, seating is open, pool facing. The octoberfest menu was fantastic incl beverages & desert, thanks to Chef Tarun who made sure we go back to Bavaria. We were served by Mr Jitender, extremely polite & courteous. Keep the great service up.",5,a review Oct 2020
97," was  our 1st relaxation trip after long  time due to Covid. my family needed a break after long work from home and kids online classes to recharge our self.  ITC Rajputana was best suitable weekend gateway due to my old Jaipur connection. We were very much satisfied  by ITC Rajputana services, safety and sanitization standards (touchless quick check-in /checkout, at rooms and breakfast buffet spread).  Chef Gokul took special care of my family and his recommended mysure dosa was awesome, we all loved it.  Mr Manoj and Mr Nayar at concierge were really helpful and were around when ever we needed any help. specially Mr Manoj assisting in clicking lovely pictures to make our trip well captured and memorable forever.  Ms. Aditi Razdan Guest Relations Incharge was very attentive…",5,e a review Oct 2020
98," the covid era , ITC RAJPUTANA has set a benchmark in terms of sanitation and hospitality. Had an unforgettable experience here and respect ITC for its special offers for medical practitioners.  Breakfast buffet was awesome. Chef Krishna Gokul took special care of us. Bringing to our table special south Indian menu. All Staff and butler were courteous and respectful.",5,ote a review Oct 2020
99,"stayed in this property with my frens and family for 2 nights . And my stay was very comfortable and safe. The staff has taken all the precautions due to this phase of Covid. All the rooms were properly sanatised and cleaned everyday . Food was amazing , we loved our stay and would love to come again . I want to thank few people from staff also - Mr Gokul ( chef ) , Ms Aditi Razdan , Mr Gagan , for their services and hospitality. We went their to celebrate my daughters bday , and they have sent a surprise cake in our room . ",5,wrote a review Oct 2020
100,"ing at ITC Rajputana, Jaipur was truly a Rajputana (Kingly) experience. After the Covid psychological effects, my family needed a break that refreshes us and that makes us bounce back. ITC was the right place to be. In this pandemic time, the first thing is safety and hygiene and the level of safety measures that were there were truly commendable.  Each and every person in the staff (from the gatekeeper to reception to cooks and chefs), were very friendly. We really felt at home there. My daughter enjoyed talking to Chef Gokul. This was my first experience where a Chef comes and talks to each and every person sitting in the dining area. He was going one step ahead by even asking us all for anything we would like to have that was not in the menu. Food becomes even tastier and…",5, a review Oct 2020
101,"was very impressed when someone contacted me before reaching that place for soft copies of ID's for a hygienic & smooth checkin, as expected the checkin took maybe 5 minutes in which they were nice enough to upgrade us to the next level of rooms also. Food at Peshawari is unmatched in taste and quality. I consider myself a very proud home chef but could'nt figure out how the burra came out so soft despite not being over cooked and ofcourse for the famed daal bukhara reems have already ben written....So superb that for both night we were their, we had dinner at this excellent restaurant. Lunch at coffee shop was as expected from a 5 star hotel , nice and scrumptious but the real out of the box thing was the breakfast, they don't know how to say no to any special request, over…",5, a review Oct 2020
102,sappointing. Been here multiple times before. I think it's time to close it ITC if you can't even maintain basics. service standards have been going down south since some time and now I feel it just has Prices of 5 star and service and maintenance of 3 star. Never going back again. ,2, review Oct 2020
103, visit at the itc rajputana was a very memorable one. The staff was very polite. Chef gokul menon always bought me chocolate sauce whenever i asked 😅 Rooms were very clean. The food was delicious..,5,ote a review Oct 2020
104,"e trip here was amazing and it only because of the property and the staff that makes your trip memorable . This was my best trip with my  family . I would really like to thank Shubham saklani ( duty manager ) , Aditi razdan ( guest relations ) and nikunj ( receptionist) . They were really helpful and lovely people to interact with . I highly recomend you should visit this property and meet these lovely people here who would make your trip also memorable and fabulous. You should try their pavilion set menu  and peshawari . Will definitely return back here soon",5, review Oct 2020
