,Review Text,Polarity_Rating
14,Excellent stay Clean hygiene room Spotless room Lavish King size breakfast Beautiful ambiance Warm welcome staff front desk Escorted room Pleasing Smiling staff Beautiful view room Sealink View,Positive
15,Room service stuff required found easily Toiletries good quality Many choice tea bags coffee powder bit confused lighting switches great mood lighting options one got used,Positive
16,Taj group hotels always best experience stayed almost 5stars especially mumbai nothing beats Taj Taj Lands end personal favourite primarily cos location breakfast top relentless staff right valet desk experience check housekeeping everyone best make stay hassle free,Positive
17,Made first time booking wifes birthday one good friend recommended service offered staff property including breakfast one best experience ever star hotels India chocolate cake lipsmacking room beautiful elegant serene great ambience best part sea view sunset Location great Bandra lot good food places shopping dog park park basically go quick stroll around without bored Also Bandra Bandstand right next door must visit service hospitality Taj outstanding excellent Staff helpful approachable Thank much team wonderful Tajness,Positive
19,booked two nights requested sea view room first experience Taj booking room Taj Bandra basically get full view sea wake morning Especially daughters wish excited Unfortunately time check told sea view rooms available adjust half sea facing view Overall pleasant stay missed sunrisesunset direct view sea,Positive
20,Excellent hotel services given good gave us sea view room Due pandemic sanitisation distancing cleanliness taken priority Beautiful arrangements long journey Toronto ambience relaxed us immediately thing improved staffs communication within Thanks Dyuti,Positive
21,first experience Taj groupfirst Taj exotica Goa landed Taj Landsend mumbaisuperb experience check check made feel home completely Thanx Laxmi Rejju Vishakha come back sure Vijay Laxmi Vishakha took good care room given good awesome un obstructed view Arabian Seathank Rejju lovely breakfast dailyone definitely experience hospitality Taj group guess u won’t choosing hotel thenWill surely come back stay I’ll surely choosing Taj group destinations well keep good work u guys correctly said “wah Taj”,Positive
22,would like Thank entire team Taj Landsend making Diwali memorable celebrating Diwali new year since 5 years feels like second home Whilst panademic chose celebrate Diwali trust Taj group safe family vacationMy special thank GM Mr Praveen Chander making sure measures taken safety hygiene guests efforts commendable Thanks Room dining staff Basil Ankita AniketSakshi PreetiFela Pushpanathan Also many thank Butler services TridevGokrenMusaDenneyGanesh Hildeg excellent services hospitality time checkin got warm welcome Tejal VijaylaxmiAtharv Many thanks swati FM always making diwali vacation…,Positive
23,Great Birthday Diwali Celebration along Family Taj Lands End Mumbai service great excellent Complete sentization Care followed Hotel Staff Keep WahTaj,Positive
25,far one best stay cations done mumbai live mumbai booked taj lands end special occasion boy take care us almost felt like people part celebration hotel staff always impressed Taj hospitality time experienced first hand Happily returning Taj properties Special shout Guest Relations Taj lands end Superb team,Positive
27,famed Taj Hospitality seen except Vista Restaurant Still give 5 star check smooth staff courteous welcome drink welcome chocolate smile Moved room jiffy many hotels sea facing room dream sit hours care taken celebrate daughters birthday visible everywhere minor hiccups like took hours get extra blanket pillow probably due less staff visibly unbearably slow service Vista restaurant Takes 30 minutes omelette dosa Took 1 hour get curd paratha aloo paratha breakfast curd Taj smiles missing Vista these…,Positive
28,One best hospitality Taj Landsend Mumbai good stuff good management also Corona Pandemic situation staff caring advising gust wonderful hospitality thank taj lands end staff,Positive
29,Excellent stay wonderfulspecially staff members Tanmay Vishakha humble helpfulWho took really good care us staythey made sure everything perfect stay,Positive
30,Hello Everyone Would Like Share Experience TAJ LANDS END BANDRA Taj team Helped Wid Hassle Free checkin Room 2534 deir Highest Floor n also Gv awesome View wid Clear Sea View bandra worli sealink Excellent stay Nice Spacious room Fabulous view sea link room N thanx Late checkin Aswell Specially thanks Vishakha Pooja Renuka making stay memorable Would Like Visit Soon,Positive
31,Awesome hospitality Excellent experience staff courteous well trained please guest Spent two Nights felt excellent would highly recommend everyone try dinner specially buffet lot varieties,Positive
32,Since TIC Member visited Taj Lands End many times requested give first preference TIC Members give attention request fulfilled request say every thing ok,Positive
34,nice room arrangements Arpit Sethi Krutika Lalwani Special thanks food recommendations surprise anniversary cake Keshav State art facilities enjoyed stay alot,Positive
37,Service house keeping kitchen everything amazing Special thanks Somalia Rohit Arnav Service provided outstanding took really good care like family Highly touched would definitely visit Thank team Taj,Positive
38,stayed Taj lands end period 5 nights husband great stay lovely time safety measures pandemic phase top notch one moment think hotel employees slipped place always sanitised employees wearing masks face shields times guests also property acting responsibly safety concern food quality inspite Covid times excellent room dining particular superb shout Mr Shafi shah manager room dinning ensuring prompt service excellent food quality tremendous efficiency rooms also spotlessly clean completely sanitised originally 3 nights…,Positive
39,Stayed Taj Lands End couple nights lived Mumbai last 15 years enjoyed various restaurants professional services hotel never stayed leaving Mumbai good decided bid Adieu Mumbai Lands End loved always stay visit,Positive
40,Fantabulous Overall good experience also staff good low staff ambience maintained well appreciate everyone give best terms made us happy wish stay send promotional offer tango1841hotmailcom,Positive
41,Rite checkin checkout experience great hospitality impeccable ambience place amazing view Arabian sea Bandra fort garden Bandstand made experience worthwhile high tea breakfast quality service food noteworthy hygiene sanitation measures followed best seen far Made another reservation already Looking forward another vacation Taj,Positive
42,Taj best comfortable clean stay Great staff Great food great view provided sea view facing room made stay even better Perfect weekend gateway,Positive
44,Went back lockdown felt like home especially meeting team warmth interaction genuine Speaking Lalita way never met awesome Remembered preferences plus always goes way ensure brilliant room service experience,Positive
45,Incredibbleeee propertyStaff politeFoodd really tastyI come sure next office tripEverything well mannered proper promiseThe Rooms clean,Positive
46,great experience Taj Landsend stayed 2019 decided spend quality time daughter 5th bday staff best live values Taj Special thanks Rochelle MasterChef Rohit Sangwan freshly baked cup cakes best ever tasted liked much ordered take away check Due issues cakes ready Chef Rohit promised delivered evening kept promise deeply appreciate every staff Taj efforts commitment tough times smile face never fade away,Positive
47,get property details stay would like extend special thank Anushka front desk Lalita guest services gentlemen catered requirements whose name recollect truly exceptional examples hospitality visit 5 star property expect amenities view top notch three individuals particular made break even memorable us Lil one,Positive
48,must say extremely impressed arrangements procedures recent stay Taj Lands End birthday husband booked stay night 20th Sep initially skeptical hadnt moved home 6 months delicious cake room decorated balloons Really felt special However right reaching hotel fact self park vehicle comforting staff protective gear contactless communication followed meticulously including reading daily news menu inroom dining happened scan QR code phones Even cutlery came food sealed Overall really satisfied shared…,Positive
49,Overall stay good Bathroom Amenities room things checkedin asked brought room well prepared guest coming room found room much dusty said cleaned Restaurant staff helpful enjoyed alot Breakfast dinner Vista,Positive
51,stayed night Taj Lands end anniversary Staycation really enjoyed experience could see precautions hotel taken keep guests safe would like point work Jermin helped us sort billing issue last minute staff polite made us feel like one day short definitely book near future Keep good work,Positive
53,Dear Sir Mam visited Taj lands end 13th Sep 2020 leisure purpose forgot charger courier us promptly Kritika Lalwani manager really helpful make stay memorable one,Positive
54,birthday due WFH appointments reached evening Room appropritely decocated Birthday Cake Ballons waiting noticed service extended minimun zero contact seen experienced Hotel premises Garden area well kept returned home 2 days stay fully recharged imporant dont worry travel planning time,Positive
55,fanstatic stay impeccable service great attention special dietary food friendly staff always served smile making another fansatic stay Taj Hospitality Convinced staycation town great idea,Positive
56,stayed Taj Lands End one week Quarantine 29 th August 5th September 2020 enjoyed stay got sea facing room food served tasty different variety time even though prepackaged Room neat clean room service good Whatever asked served reasonable time Look forward stay recommend friends,Positive
57,Taj Lands End Review Luxurious Sea Facing RoomsAlso Bandra Worli Sea Link Views Band Stand Views Large Pool ViewsAll Rooms Bathtubs added advantageLarge Bathrooms Mr Jayendra Ghag FB Manager Taj Lands End surprised us great personalised friendly homely servicesComplimentary Cake awesomeSpecial Sea Facing Table arrangements Gujarati snacks packed craving Vishakha Tejal Reception helped us smooth early check late checkout pandemic timesAlso housekeeping guest services helped us room decoration special birthday anniversary celebrationsAlso rooms sanatised oftenlyWe felt safeSanatisers around rooms visit again…,Positive
58,expected Taj outdid first stay hotel pandemic started safety hospitality staff extremely amazing moment entered could say staff knew exactly wanted made experience one best ever Thank,Positive
60,lovely time Property Right lady took reservation Till checkout everything went well Team lead Mr Praveen Chander consisting Anjela Rai Front office Mr Musa IRD Mr LokeshFB Mr Dinesh Front office Mr KanushaFront officeMr KartikFront desk took excellent care mine happy service Safety standards adhered Consistently hotel God bless Thank Lord Jesus Christ,Positive
61,moment walk time leave experience staff helpful understood ones frustrations staying isolation COVID times Taj Land End staff would like mention thank Duty Managers Arpit Jermin went beyond duty make stay comfortable one paper work required taken care efficiently Chef Ajay Sharma made sure food sent room delicious keeping food allergies mind Front Angela Rhitika others Driver Sachin definitely come back COVID issues Thank Stay safe,Positive
62,Taj Lands End wonderful hotel Band Strand Bandra facilities world class professional management Ask sea facing room upper floors it’s really wonderful wifi pretty good house keeping,Positive
63,first night wedding Taj Lands End Bandra Must admit service surprises arranged hotel staff excellent decorated room pictures balloons also small yummy cake entered room Apart hotel also gave us complementary high tea access club lounge along room breakfast Extremely thankful duty manager Ms Krutika smooth check additional services provided us post wedding beautiful stay room stunning view,Positive
64,Great hospitality spoken politely given correct advice per requirement requirement met good time Ive positive experience Would recommend others well,Positive
65,luxurious hotel stayed view sea link facing rooms AMAZING backed legendary Indian hospitality Definitely worthy experience Note stayed aqa facility Covid 19 pandemic,Positive
67,stay Taj lands end satisfying experience staff helpful caring Especially Front Office Manager Swati Chef Rohit took extra care needs requirements staff prompt cooperative taking care everything nice property spacious clean rooms facilities good view sea room adds charm,Positive
69,hotel world beautiful hotel staff respectfully Hotel cook making food tasty delicious Hotel management nice Hotel room big designer hotel nice,Positive
70,Taj Lands End month night expectations overly fulfilled Duty Manager Ms Kritika Lalwani really left positive impression upgraded larger well decorated suite birthday guess small actions make day Super professional staff Kudos Ms Lalwani staff Overall amazing stay Lands End Would sure recommend acquaintances stay property,Positive
71,stayed parents Taj Lands End period two weeks March 2020 experience fabulous say least beautiful view sea spacious room enjoyed entire stay property rooms well appointed property beautifully designed elegantly luxurious true Tatas’ legacy staff welcoming point feel like you’re hotel felt like home wonderfully elaborate buffet breakfasts chefs would happily rustle anything wanted eat absolutely amazing housekeeping staff day day made sure take care needs couldn’t asked better place stay 2 weeks entire team obviously a…,Positive
72,regular visitor Taj Landsend time surprise improved service time Club guest experience 1010 great hospitality Looking forward next visit,Positive
73,superb time Taj Lands End staff made us feel home regard everything housekeeping staff specially took great care specially MEGHA housekeeping team great job making stay memorable one celebrate wifes birthday grt time hotel food reqmts small baby really well taken care room dining department stone left unturned making stay comfortable core Thanks Taj yet another fabulous experience ever since past 4 year old association always immense trust premium level hospitality yet another pat back Well done Thanks see u yr next property soon sometime,Positive
74,Taj Landsend scenic property every time visit Mumbai stay choose property feel much home entire staff welcoming entire front office team including Taronish Swati Aditya rest team makes stay comfortable makes sure get choices Taronish takes care entire stay right booking onwards time celebrated parents anniversary decorated room balloons cake flowers made anniversary really memorable Also appreciate bell boys polite welcoming entrance salon Niu Nau nice choice pedicures manicures Sandeep Sanju best carried work efficiently full…,Positive
75,stay Taj lands end outstanding Kids enjoyed pool Breakfast good Front desk helpful specially pooja gangurde helped lot thanks lot certainly visit future,Positive
76,arrival checkout overall experience pleasant aberrations hotel outside inside looks sparkling Checkin checkout formalities quick allotted 2 adjacent City cum Ocean view rooms 22nd floor provided great view surroundings room washroom large delightfully done fitted comforts amenities like king sized comfortable bed choice pillows TV AC coffee maker free wifi etc Special mention spacious washroom 3 separate sections commode shower bathtub provided necessary toiletries buffet breakfast Vista restaurant countless options veg nonveg fares live counters staffs courteous and…,Positive
77,Amazing service care reached early simple layover Wanted check early given case Aamir checked ensured got room even upgrade fantastic view Enjoyed every moment service round amazing would thoroughly recommend stay experience incredible may say views amazing Perfect night enjoyment merry,Positive
78,Right Arrival till checkout experience awesome including room service breakfast room dining housekeeping services quick prompt checkin checkout courteous crew,Positive
79,Yesterday meeting fix Taj lands end stay welcome Taj employee nice great feeling nice room stunning room fantastic breakfast yummy totally loved,Positive
81,write express sincere gratitude support Taj Lands End team provided us make event success would possible without involved event namely Mahakshay Bhavsar Binoy P Krutika Lalwani took care wedding group well throughout even smallest queries event could go seamlessly Ankush Tejal front office end guests happy stay taken care perfectly couldnt asked better team look forward working guys future Warm regards Suzanne,Positive
82,Stayed nights conference booked directly hotel found service excellent helped booked hotel taxi pick airport taxi comfortable driver courteous hotel received warmly reception gift prompt service reception lobby also nicely desogned view room awesome facing Arabian Sea Bandra Worli Link breakfast collection also wonderful provide many variety food local food western food truly enjoyed stay drawback unstable wifi room leisurely purpose business would given 5 star considering level service commitment Im sure…,Positive
83,surprise fiancee one year anniversary Decided last moment Special mention Ms Anjela Rai arranging everything Room view beautiful room decorated beautifully along cake celebrating anniversary took care everything little thing bit disappointed food Rest amazing definitely visit Thank Anjela making trip memorable,Positive
84,Stayed Taj Lands EndMumbai recently Feb 2020 wonderful experience done booking Inhouse Hotel Reservation desk even requested room view BandraWorli SeaLink accommodated provided promised Although busy weekend visit 3 weddings scheduled staff still attentive ensured good service would like commend Staff Hotel right person received usAnkush reception InRoom Dining HouseKeeping Staff etc would like specially call Samir PhadnisRestaurant Manager Masala Bay Chef Atanu provided excellent service able try Masala Bay Vista Atrium Lounge still need try House…,Positive
85,Nice place chill relaxI booked club room sea view room amazing club access afternoon tea mocktails evening breakfast good wide spread Overall amazing staycation,Positive
87,lovely breakfast buffet long time special thanks Abhishek Dharmesh great dining experience assured everything time Thank would love visit,Positive
88,lounge service masala bay extraordinary Breakfast big spread quality superb would highly recommend location value excellence multiple dimensions hospitality,Positive
89,used hotel several times one best Mumbai Good food cleanliness Taj Club excellent gave place sit extra work trip presentation good meeting place Quiet surroundings,Positive
90,Taj Lands End offers one best views Mumbai sea sea link bridge nice opportunity walk lanes bylanes Bandra hotel characterized traditional Taj hospitality superb wellappointed rooms lovely restaurants,Positive
91,Thankyou Housekeeping team Food Beverage team exceptional service good experience Special thanks Sabbir intuitive thoughtfulness active good luck u Satvik good leader must say service industry see leadership qualities keep good work pleasant stay thank much team making stay good hope see u guys soon good luck great year ahead,Positive
92,opportunity spend night hotel Mom celebrate 85th Birthday check staffKrutika helpful upgraded us Club room 23rd floor room beautifully appointed spacious bathroom beautiful surprise knock door staff got Mom delicious mouthwatering chocolate cake little later another hotel guest service stopped check comfortable needed anything breakfast next morning massive spread various cuisines Live stations making dosa eggs etc Though buffet staff extremely courteous got us food table every time Asst Director Francis hospitable went way make sure we…,Positive
93,stay Taj Lands End Feb 2020 made comfortable moment stepped hotel till left outstanding service great buffet breakfast comfort room appreciated whole family Thank Taj making holiday success,Positive
94,Weve stayed Taj several times recently January lovely place makes hotel wonderful place staff Theyre incredibly helpful obliging Many thanks Taj Club butlers particularly patient Nabi made sure coffee strong Vipul kind housekeeping staff also excellent—Vishnu cleaner always kept room spotless Sebastian turndown service helpful—and great job loved coming back room every night complaint hotel live music bar bar place part guests want visit friends business music singer laptop covering old pop songs loud and…,Positive
95,Stay entry exit amazing attention small details truly wonderful Especially housekeepers Friendly nomad bar happiness nomad note internet sketchy different areas hotel,Positive
96,Stayed 2 nights attending conference hotel airport picked waiting exited airport safe driver reception concierge service great staff patient helpful needs requests especially Tejal front desk helpful providing guidance get taxi town hotel car unavailable needed sort last minute checking help loose luggage packing going beyond duty room clean spacious luxurious comfortable well equipped kettle hair dryer iron ironing board etc View room city skyline pool cool including…,Positive
97,week Taj Lands End attend Indian wedding week well spent moment welcomed moment farewelled staff opulent hotel cannot enough make stay memorable restaurants excellent bars good room spacious well appointed It’s little touches make stay memorable Valentine’s Day room made feel special housekeeper room attendant enjoyable stay,Positive
98,wife along 2 grand kids stayed 4 nights gorgeous hotel wonderful stay 6 stars aspects hospitality indeed Staff managers polite eager please help much possible Awsome culinary delights dinning outlets great Spa lovely outdoor pool clean clean 👍👍👍👍👍Fantastic,Positive
99,recent stay Taj Lands End Mumbai memorable experience excellent hospitality great ambience views Arabian Sea room spectacular food awesome good conferencing banquet facilities strongly recommend great Hotel,Positive
100,time cheked experience one happy memories good facilities good service helpful staff parts property menu room service good speed staff attended room service requests really commendableA small request wifi clarity attended time breakfast spread really good meeting diverse needs,Positive
101,mum sister booked hotel prewedding gift whilst got enjoy shopping experience Mumbai best decision madeThe staff friendly respectful checkin checkout recieved nothing professionalism actually felt like royalty thats well treated compalints hotel highly reccomend anyone visiting Mumbai 3 day stay exceeded expectations Thank entire team great hotel management next time,Positive
102,First time Mumbai also visited hotel since conference recommend hotel visit Mumbai Quality great compare price Really Value Money,Positive
103,impressed hotel service delivered appreciated warm greetings comfortable luxury suite food Ming Yang Masala bay excellent cannot thank enough bringing missing passport airport many hotels would exceeded expectations wouldn’t stay else Mumbai,Positive
105,want make stay worth choose Club Room enjoy benefits great view Superb food Club facilities amazing staying club room privelege breakfast high tea club loungue looking great sea nice welcoming put garlands Tikka Smiling friendly staff buffet Cafe Vista amazing must go family,Positive
107,lovely time Neeraj overwhelmed us attentive warm service Thank Taj food usual excellent Buffet quite extensive changed position deserts accesible Lands End home stay Byculla Taj Palace prefer Palace due warmth,Positive
108,Looking spacious room get amazing view sea link hotel well maintained managed wide array great dining importantly wonderful customer service making feel home,Positive
109,stay Taj lands end 4th 6th Feb fantastic mt requirements catered forThe staff service throughout Hotel excellent Always service smile visiting mumbai stay Taj Lands end although many hotels including Taj PalaceI recommend hotel anyone visiting Mumbai,Positive
110,Outstanding exemplary service eye detail hotel staff staff sensitive needs without even asking taking care example using laptop cordless mousei provided mousepad absolutely unexpected,Positive
112,extend stay due unforeseen circumstances support hotel amazing Thanks hotel staff amazing temperament Right billing management security support matters great relaxing dinner room service long day,Positive
113,amazing stay Everything smooth right pickup airport check check stay comfortable check details promptly happily taken care helpful friendly staff hotel right time entered lobby staff 21st floor club room including staff Club lounge fabulous took care every request made stay comfortable awesome joy staying hotel thanks fabulous staff excellent service Would coming back soon Awesome hospitality Thanks,Positive
115,Amazing place pool food rooms staff excellent Staff professional helpful always beautiful smiles face Great location relaxing comfortable stay Bollywood actors stay near hotel lucky see upgraded room beautiful view Mumbai free way pool area Arabian sea definitely choose property visit India One best hotels far,Positive
116,Taj Lands End speaks amazing hotel full buzz facilities excellent standard view Arabian Sea room picturesque Visited Niu Nau Salon two occasions wonderful experience Sonia hair Loved coffee shop service given staff great breakfast service needs room improvement,Positive
117,arrivd early morning check takes minutes complication room looking pool famous bridge Mumbai air pollution foggy times clear view still impressive room equipped necessary amenities Staff helped every detail Especially staff breakfast restaurants good Breakfast good also went Indian restaurant tasty hotel location take taxi go either south north easily,Positive
118,Hotel room nice everything inside room nice clean tidy bath amenity provided smell good staffs polite friendly room dining taste delicious also one thing bit annoying always wedding held music noisy continues hours least,Positive
120,Excellent stay Room stay comfortable Hard Business school experience good Food needs improvement though high regard food Taj Need improvement regard kind regards,Positive
121,Visited family would like state staff members much helpful courteous Importantly small small gestures Hotel staff quite memorable long time Taj Experience Samir Masala Bay Chef Sartaj helpful definitely cant miss support staffGood Luck staff members,Positive
122,1st night celebration Taj Lands Ends Mumbai stayed 2 nights rooms good beautiful clear sea view Breakfast delicious also candle light dinner Masala Bay restaurant ambience pleasant food awesome taste Staffs helpful cooperative Room facilities well maintained,Positive
123,great service arrival departure upgraded using vouchers pleasure top floor lovely views city Experienced lounge good service well Average breakfast Restaurant food great,Positive
124,Great Hotel superlative service experience sea facing rooms outstanding view hotel boast impressive buffet spread amazing food options choose well stocked bar lobby level,Positive
125,Poolside Lawn provides excellent ambience great decor alternatives social even like marriage isolation provides privacy facility ones programs easily accommodate several hundred guests Catering Taj could personal choice terms cuisine options great facility,Positive
127,great room good food liked welcome Taj nice hotel treated well incident room ie table toppled manager ws apologetic offered us free dinner made sure safe,Positive
128,check experience great arrival request met room great amazing view front office agent gave great offer fast check lobby bar manager great great chat,Positive
129,stayed start break wasn’t far away airport foyer rooms pool areas lovely staff friendly welcoming ate Indian restaurant food excellent also buffet one evening good selection food first time Mumbai little unsure location took hour get gateway India heavy traffic would expect fault hotel prepared travel bit lovely visit,Positive
130,Oasis Luxury amongst India’s finest Exceptional decor room finish Bar area perfect business pleasure much service staff need coordinate areas ask many times refill beer Swimming pool gardens relaxing well appointed water bridge separates family quiet area nice touch able eat lunch pool disappointing explained “not attract birds” valid excuse Lots events weddings going nicely dressed guests Lots restaurant options food experience great Tasty quality food 👌🏼,Positive
131,first trip India booked Taj Lands End welcome hospitable warm room absolutely beautiful stunning view Arabian Sea service outstanding salon services excellent went salon got appointment immediately Ambience chilled breakfast Vista overwhelming much choose Loved variety foods garden area wedding n mehendi hosted beautifully decorated colorful come next time 💕,Positive
132,Lalit perfect concierge Taj proud handling jewellery repair finding incense burners extremely efficient expertly handled drive airport fantastic Hopefully see soon David Lambert CaroleAnn Sellicks London 👍,Positive
133,Love Property knowing lot staff Property even better makes feel home Lovely rooms food really good dont much hang around lobby bar busy enough see people entering Property Keep Good work Team Taj Lands End,Positive
135,fifth visit enjoyable experience 5 nights including New Year’s Eve paying final bill clearly told cashier collect balance due Rupees cashier collected pounds using exchange rate set hotel 10 expensive mid market rate set credit card provider written hotel response,Positive
136,spent 4 nights hotel 3 kids booked executive suite originally expectations Thanks Raina upgraded luxury suite perfect spacious kichenette luxurious comfortableWe also celebrated wedding anniversary stay made taj people kids sad leavewe definitely would recommend taj lands end really felt special througout stay Thanks whole team,Positive
137,Breakfast service ok excellent stayed 2 nights JW Marriotte Juhu excellent breakfast TAJ LandsEnd Service Breakfast great Breakfast choices limited great,Positive
138,wonderful stay hotel atmosphere staff made us feel home staff friendly professional took care needs would like mention member staff went extra mile make stay hotel trip India unforgettable experience,Positive
139,Excellent explanation support Ms Simmy Mr Lokesh festivity department booking New Year Celebration package Atrium Masala Bay wife Par Excellence setup Atrium Dance Floor Masala Bay restaurant table reserved time best food hospitality staff descent crowd 23rd floor Grand Luxury room looked newly refurbished descent view sea Highly recommended celebrations,Positive
140,check smooth Tanmay checked worked hard locate smoking room unable find one category upgraded Club Room free cost really thankful Tanmay kindness stay business related checked hours able experience hotel,Positive
142,beautiful clean Hotel top Service Management friendly helpful Roomservice friendly great Hotel clean beautiful rooms Breakfast good organized gave Manager feedback,Positive
143,place close Airport one reach part Mumbai hou avg traffic condition hotel staff courteous helpful best part teh view one gets form sea facing rooms,Positive
144,Taj hotel one expect best hotel lives Taj reputation Perfect every way Staff courteous food excellent Facilities hotel also maintained well,Positive
145,hadnt India years glad stayed nice hotel renovated room excellent right comfortable slippers buffet breakfast delicious offered great views sea location Bandra convenient shopping tourism visiting family Mumbai small complaint pool isnt big However facility nice hot tub ease pains away,Positive
146,second trip Taj lands End stay wonderful expected Taj location fabulous heart Bandra walking distance Shah Rukh khan’s house sea right front rooms offer view sea Worli Sea link bridge Well appointed rooms 5 star amenities clean big bathrooms buffet breakfast huge spread tends get overcrowded weekends still managed well staff courteous helpful visit sure,Positive
147,Stayed two years back disappointed New front desk manager Taronish Kakaria made world difference minute entered building check experience 180 degrees different last trip Cant beat location overall Taj hospitality Ganesh Bharat club lounge Rajendra housekeeping made entire trip pleasant almost feel like leaving Breakfast club lounge amazing use evenings cannot comment quality drinks etc breakfast superb,Positive
148,TAJ LANDS END MUMBAI WORK TRIP ROOM TOILET Nice ample space clean King bedded Toilettries provided including shaver Im emphasized thought Taj Palace Delhi also provide unlucky Shower heat temperature good winter season thumbsup FB Nice ample choice vegs nonvegs multiple muesli probiotic choices good WIFI Good complementary guest Authorization needed FITNESS CENTER Superb 24hours open Connected Mywellness appssystem 5 star hotel,Positive
149,amazing hospitality experience great property prompt room service special efforts take care requirements guest family variety items special culinary delights different restaurants excellent view room cheerful courteous staff members everywhere overall satisfactory experience,Positive
150,roomsbathrooms especially beds expect Taj Group one word great stay expensive rooms Room service perfect Pity us December wedding season get lots families visiting villages staying many people one room making lots noise bothered guests bad experience Vista restaurant la carte dinner took long time quality dissappointing Maybe gone buffet daybut really hungry big Christmas lunch outside friends said quality variety daily breakfast served Vista restaurant extremely good,Positive
151,hotel Bandra Bsndstand literally Land’s end One go walk bandstand promenade Lots activities hotel Nice efficient staff Restaurant Vista staff amiable could proactive Overall nice stay,Positive
152,hotel located 15 odd minutes drive airport almost rooms provide beautiful sea view staff highly professional pleasing Housekeeping perfect lobby bar full life live music evening plus point Taj group special occasions extend discount serving veterans armed forces speaks volumes values spirit patriotism Taj group food quality could improved blend Rest everything perfect hotel true value money,Positive
153,almost month Nov December comforting cant beat service rooms clean fresh also would come evening enquire needed anything Would go back,Positive
155,Best class Hotel Clean rooms tasty food beautiful ambiencestaff polite service absolutely wonderful great time weekend family Would suggest Taj Always good option best Hotel,Positive
156,Stay Taj always best Staff hotel friendly accommodative Room service restaurant good quality food Would love stay hotel always Amazing experience,Positive
158,stayed Taj Lands End 3 times last couple years stay amazingly pleasant previous ones visit really good staff simply amazing especially 3 ladies Anjala Sayali Divya courteous professional polite always helpful needs different types cuisine available breakfast simply mouthwatering outstanding would stay Taj every time go Mumbai Thanks amazing experience,Positive
159,Great Hotel Location sea LInk view room spectacular staff wonderful always smiling ready help Anushka front Desk amazing professional Helpful spoilt choice breakfast Overall amazing experience back,Positive
160,always Taj never disappoints hospitality food name taken care Recently stayed like home away homeThe view sea link one side hotel poolside relaxing enjoyable breakfast spread AMAZING service excellent overall experience wonderful whenever travel first choice always TAJ Taj Lands End team surely deserves special appreciation,Positive
161,go every year TAJ LANDS END really like place like another home swimming Pool Jacuzzi fountain pool enjoy morning also evening food brakefast awesome dinner order dal Makhani wonderful testy perfect holiday,Positive
162,good hotel spend time family friends service staff soo good would feel like home beautiful view bandra sea sooo amazing mannn,Positive
163,Amazed warm hospitality wonderful services preference taken care specially kidsTaj Lands End staff speak language affection present actual translation sentence Attithi Devo Bhav extension Kids treated liked Prince Princess Taj Lands End Note reads Big Thank Mr Taronish Karkaria Mr Parveen Chander Kumar making stay memorable Business Leisure Trip Mumbai incomplete stay Taj Lands End Wish Entire Taj Lands End Team Best Regards Regards Ashish,Positive
164,Stay exceptional service hotel extremely outstanding Taj known excellent service food good family right checkin checkout everything smoth would love mentioned excellent service given himali works guest service Shrutika check good special thanks mentioned,Positive
