,Reviewer,Review,Ratings,Date
45,Agarwal,Incredibbleeee property.Staff was very polite.Foodd was really very tasty.I Will come for sure on my next office trip.Everything was well mannered and proper as they promise.The Rooms were very clean.,4,Oct 2020
46,Roshan,"It was a great experience at Taj Landsend. I had stayed their in 2019 and decided to spend quality time with my daughter during her 5th bday. The staff is the best, they live by  the values of Taj.  Special thanks to Rochelle and MasterChef Rohit Sangwan for the freshly baked cup cakes. They were the best we ever tasted. We liked them so much that we ordered few more for take away on check out. Due to some issues, the cakes were not ready. But it was Chef Rohit who promised to have them delivered by evening and he kept his promise. I deeply appreciate each and every staff of Taj for there efforts and commitment during these tough times. The smile on there face never fade away.  ",5,review Oct 2020
47,Sagar,"Before I get to the property details and stay, I would like to extend a very special thank you to Anushka at the front desk, Lalita in guest services the gentlemen who catered to all our requirements, whose name I do not recollect. They were truly exceptional examples of hospitality. When you visit a 5 star property, you expect the amenities and view to be top notch, but these three individuals in particular made the break even more memorable for us and our Lil' one.",5,eview Oct 2020
48,Smriti,"I must say, we was extremely impressed with the arrangements and procedures during my recent stay at Taj Lands End. It was my birthday and my husband and I booked the stay for a night on 20th Sep. We were initially skeptical as we hadnt moved out of our home in 6 months,  There was a delicious cake and the room was decorated with balloons. Really felt special.  However, right from reaching the hotel, the fact that we had to self park our vehicle itself was so comforting. All staff were in protective gear. And contactless communication was followed meticulously including  reading  and daily news or the menu for inroom dining which happened to be a scan of a QR code on our phones. Even the cutlery that came with food was sealed.  Overall we were really satisfied and have shared…",5,w Sep 2020
49,Salmansk,Overall stay was good but Bathroom Amenities & some room things was not there when we checked-in when we asked then they brought but room should be well prepared before guest coming in room and found room too much dusty same when said then they cleaned.  Restaurant staff was very helpful and enjoyed alot Breakfast and dinner in Vista.  ,4,Sep 2020
50,Zeeshan,"I visited there to celebrate anniversary. And to my surprise they gave me a room with a lovely view. The room was decorated with balloons too.  But the room was not well equipped with double pax supplies. Had to ask for slippers, and then bathrobe which took an hour to deliver. All minibar glasses were dirty, room was dusty, and request took too long to deliver which is not expected from the brand hotel. There was no cake and any flowers which i had requested even during my reservation. One suggestion is to provide sanitisers and mask to the guest which other set of hotels are providing.   I feel services need to be improved. There was no call back in room to inform guest about closure of request, no one calls back for the queries too.. Overall it was a disappointed stay ",2,eview Sep 2020
51,Santhosh,"We stayed for a night in Taj Lands end for an anniversary Staycation. All in all, we really enjoyed the experience and could see the precautions the hotel has taken to keep its guests safe. I would like to point out the work of Jermin, who helped us sort out a billing issue in the last minute. All the staff were very polite and made us feel like one day was too short. Will definitely book again in the near future. Keep up the good work",5,iew Sep 2020
52,Getaway30800993311,"Highly disappointed with the services. I had booked with a package which included discounts on food and beverages ,however no discount was applied when I checked bills during final settlement. Food that we ordered was absolutely average in taste, not at all worth. Had requested for a special arrangement for dinner as it was a special ocassion. I understand that there are limitations in current scenario but they just kept saying we will call back and update on the same. We kept waiting for an update entire evening and then finally gave up and went for dinner at 10pm. Atleast they should called back as a courtesy. ",1,Sep 2020
53,Kamlesh,"Dear Sir , Mam  visited Taj lands end on 13th Sep 2020 for leisure purpose  and we forgot a charger which was courier to us promptly Kritika Lalwani manager was really helpful to make our stay memorable one",5,review Sep 2020
54,Climber05463770916,"It was my birthday, due to WFH and appointments, we reached in the evening. The Room was appropritely decocated and Birthday Cake with Ballons were waiting for me . I noticed that the service is extended with minimun or zero contact. It is to be seen and experienced by all of you   Hotel premises and Garden area are well kept. We returned home after 2 days of stay fully recharged! What is imporant that you don't have worry about travel planning and time!",5,Sep 2020
55,Sunny,"A fanstatic stay with impeccable service, great attention to special dietary food, friendly staff who always served with a smile, making it another fansatic stay with Taj Hospitality. Convinced that a staycation in the same town should be a great idea!",5,Sep 2020
56,Mahalingam1969,I stayed in Taj Lands End for one week Quarantine from 29 th August to 5th September 2020. I enjoyed my stay. I got sea facing room. The food served are very tasty and different variety each time even though it was a prepackaged. Room is very neat and clean. In room service is good. Whatever asked served with in reasonable time. Look forward to stay again and recommend to my friends.,5,Sep 2020
57,Pramit,"Taj Lands End Review :  Luxurious Sea Facing Rooms...Also has Bandra Worli Sea Link Views, Band Stand Views & Large Pool Views...All Rooms with Bathtubs added advantage...Large Bathrooms...  Mr Jayendra Ghag, F&B Manager at Taj Lands End surprised us with great personalised, friendly & homely services...Complimentary Cake was awesome...Special Sea Facing Table arrangements & Gujarati snacks packed by him were just what we were craving for  Vishakha & Tejal at Reception helped us smooth & early check in with late checkout too in this pandemic times...Also housekeeping guest services helped us with room decoration for our special birthday & anniversary celebrations...Also rooms were sanatised oftenly...We felt very safe...Sanatisers all around & in rooms too...  Will visit again…",5,review Sep 2020
58,jay91232020,As expected Taj outdid itself... this was my first stay in a hotel after the pandemic has started... the safety and hospitality of the staff was extremely amazing!!! From the moment we entered you could say that the staff knew exactly what we wanted and made the experience one of the best I have ever had... Thank You!!!!,5,Sep 2020
59,Priti,"This is to enlighten the entire team of taj , I hold gold tier membership , and the food served in the room was pathetic , cold , over cooked , very bad , service was really bad , and to top it there was no tea served and on the contrary they have charge 700/- for tea .. Sorry to mention the service is really bad currently plz would recommend everyone not to stay here at this moment ..!!  I personally love TAJ , but getting this kind of service is not Upto mark ..!  And really sorry to mention to entire team of taj kindly take care of service this is not Upto mark ..!  ",1, review Sep 2020
60,Niteshsubi,"Had a lovely time in the Property Right from the lady who took my reservation . Till the checkout everything went well. Team lead by Mr Praveen Chander consisting of Anjela Rai (Front office), Mr Musa (IRD), Mr Lokesh(F&B) Mr Dinesh (Front office) and Mr Kanusha(Front office),Mr Kartik(Front desk) took excellent care of mine. Very happy with the service .  Safety standards are adhered too very Consistently  in the hotel. God bless you all. Thank you Lord Jesus Christ",5,Aug 2020
61,nkayastha,"From the moment you walk in to the time you leave, your experience in A++.  The staff is very helpful and understood ones frustrations of staying in isolation during COVID times  A few Taj Land End staff, I would like to mention and thank  Duty Managers: Arpit & Jermin (They went beyond their duty to make my stay a comfortable one and that all paper work required by me was taken care of most efficiently  Chef Ajay Sharma made sure food sent to my room was delicious while keeping my food allergies in mind   Front - Angela, Rhitika and others Driver - Sachin  Will definitely come back after the COVID issues.  Thank you all. Stay safe",5,Aug 2020
62,AjayGupta12039,Taj Lands End is a wonderful hotel at the Band Strand at Bandra. The facilities are world class and so is the professional management. Ask for a sea facing room on upper floors and it’s really wonderful. The wifi is pretty good and so is the house keeping.,5,Aug 2020
63,Priyal,"It was our first night after our wedding at Taj Lands End Bandra. Must admit the service & the surprises arranged by the hotel staff was excellent. They decorated the room with our pictures & balloons, we also had a small yummy cake when we entered the room. Apart from the above, the hotel also gave us complementary high tea access to the club lounge along with in room breakfast. Extremely thankful to the duty manager out there Ms. Krutika for a smooth check in & additional services provided to us post our wedding, we had a beautiful stay and a room with a stunning view.",5,view Aug 2020
64,Simran,Great hospitality! I was spoken to very politely and given correct advice as per my requirement. My requirement was met in good time too. So I've had a positive experience! Would recommend to others as well!,4,w Jul 2020
65,Amar,The most luxurious hotel I have stayed in and the view from the sea link facing rooms is AMAZING .. backed up by legendary Indian hospitality! Definitely a worthy experience... Note: I stayed as aqa facility! During Covid 19 pandemic,5,w Jul 2020
66,Pammi,"I was having very high expectations form the taj though I haven't booked The hotel due to this covid my company booked that hotel. From the beginning when we were coming out from the bus a lady from guest relations was very rud she was instructing her juniors which was fine but she was making some annoying sound like murmuring, may be she was the Duty manager(DM) may be attitude just because of position and pratending like we all are Covid patients. I requested for Tea coffee amenities I had to call more than five times even I called duty manager Rohit inspite of that nobody turned up I called again DM phone no answer I failed to understand that when the hotel was fully sold out how will the guest have been treated by them?????  Pathetic.Finally a person came and gave coffee and…",2, review Jun 2020
67,Parvesh,"The stay at Taj lands end was a very satisfying experience. The staff was very helpful and caring. Especially Front Office Manager Swati and Chef Rohit took extra care of the needs and requirements. The staff was prompt and cooperative in taking care of everything. A very nice property with spacious, clean  rooms and facilities. A an good view of the sea from the room adds to the charm.",5,w Jun 2020
68,chiragsabunani,"This cannot be a Taj Luxury property. I hold Taj in very high esteem, so I fail to understand why the utter failure to maintain standards in the bathroom (uncleaned surfaces, indications that plumbing work had been done recently and not completely finished), and the minibar that had the look and feel of lemon tree furniture and also had no amenities and dirty wine glasses.   There was also a screw up with my check in and I had to spend 2 hours sorting out the issue or I would have been double charged..  Not a Taj experience at all and if I were you, pick another property",2,May 2020
69,Kishlay,The hotel is world most beautiful. The hotel staff is respectfully. Hotel cook making for the food very tasty and delicious. Hotel management is very nice. Hotel room is  very big and designer. The hotel is very nice. ,5,w Apr 2020
70,TravisR,I had been to the Taj Lands End this month for a night and my expectations were overly fulfilled. The Duty Manager Ms. Kritika Lalwani really left a positive impression when she upgraded me to a larger well decorated suite as it was my birthday. I guess these small actions are what make our day. Super professional staff. Kudos to Ms. Lalwani and her staff. Overall had an amazing stay at the Lands End. Would for sure recommend my acquaintances to stay at this property.,5,Mar 2020
71,Vaasavi,"I stayed with my parents at Taj Lands End for a period of two weeks in March 2020. Our experience was fabulous to say the least. With a beautiful view of the sea from our spacious room, we enjoyed our entire stay at the property. The rooms are well appointed, the property itself is beautifully designed and elegantly luxurious. And true to the Tatas’ legacy, the staff is so welcoming that at no point do you feel like you’re in a hotel. It felt like home.   From wonderfully elaborate buffet breakfasts, where the chefs would happily rustle up anything you wanted to eat, to the absolutely amazing housekeeping staff who day in and day out, made sure to take care of all our needs, we couldn’t have asked for a better place to stay for 2 while weeks.   The entire team obviously did a…",5, review Mar 2020
72,parimit2020,"I am a regular visitor to Taj Landsend! Each time they surprise you with an improved service! This time I was a Club guest and the experience was 10/10. Once again, great hospitality. Looking forward to the next visit.  ",5,Mar 2020
73,yogeshp453,"We had a superb time at Taj Lands End. The staff made us feel at home with regard to everything. The housekeeping staff specially took great care, specially MEGHA (from housekeeping team) did a great job in making our stay a memorable one. We were there to celebrate my wife's birthday and we had a grt time at the hotel. The food reqmts of my small baby were really well taken care of by the in room dining department and there was no stone left unturned in making our stay comfortable to the core. Thanks Taj for yet another fabulous experience. We have, ever since our past 4 year old association, always had immense trust in the premium level of hospitality of yours. This is yet another pat on your back. Well done. Thanks again and see u at yr next property very soon sometime.",5,Mar 2020
74,Sanaya,"Taj Landsend is such a scenic property that every time we visit Mumbai we stay here. We choose this property because we feel so much at home. The entire staff is so very welcoming. The entire front office team including Taronish, Swati, Aditya and the rest of the team makes our stay so very comfortable and makes sure we get our choices. Taronish takes care of our entire stay right from the booking onwards. This time we celebrated my parents anniversary and they decorated our room with balloons, cake and flowers which made their anniversary really memorable. Also I appreciate the bell boys who are so polite and welcoming at the entrance. The salon Niu & Nau has a nice choice of pedicures and manicures. Sandeep and Sanju are best and carried out their work efficiently with full…",5,review Mar 2020
75,Sharafat,"My stay with Taj lands end was outstanding Kids enjoyed the pool Breakfast was good Front desk was helpful specially pooja gangurde helped a lot ,thanks a lot to her, Will certainly visit again in future",5,w Mar 2020
76,Sandy_JSR,"From arrival to checkout - the overall experience was pleasant with few aberrations. The hotel, both from outside and inside, looks sparkling. Check-in and check-out formalities were quick, we were allotted 2 adjacent City cum Ocean view rooms on 22nd floor, which provided great view of surroundings. The room and washroom were large and delightfully done and were fitted with all comforts and amenities like king sized comfortable bed, choice of pillows, TV, AC, coffee maker, free wifi etc. Special mention to spacious washroom which had 3 separate sections for commode, shower and bathtub and were provided with all necessary toiletries. The buffet breakfast at Vista restaurant had countless options of veg and non-veg fares with live counters. The staffs were courteous and…",5,Mar 2020
77,Santosh,"Amazing service and care for me who reached early for a simple layover. Wanted to check in early and given my case, Aamir checked and ensured I got a room even with an upgrade and a fantastic view. Enjoyed every moment of it and the service all round was amazing. I would thoroughly recommend a stay here. The experience is incredible. And if I may say so, the views are amazing. Perfect for a night of enjoyment and merry. ",5,w Mar 2020
78,SameetGambhir,"Right from Arrival till checkout - the experience was awesome including room service, breakfast, room dining, housekeeping and other services. The quick and prompt check-in and checkout with the most courteous crew",5,Mar 2020
79,Nisha,Yesterday my meeting fix in Taj lands end and I stay here the welcome of the Taj employee is nice and great feeling here .nice room with stunning room was fantastic and breakfast is so yummy and I totally loved it ,5,Mar 2020
80,Veezoo,"We had a party of 11 celebrating my fathers birthday at the Vista restaurant on a Sunday afternoon. I flew in from Australia specially for this event. The buffet was great and the ambience was amazing, but the service was so slow and almost didn't bother. I ordered for a coke and it took them 45 minutes to bring it out (I had to ask 3 times to 3 different waiters and finally asked a manager). Most of our drinks came out after the meal. My dad asked for cold meat cuts- which they said they're happy to provide, but that too came way after we were done with desserts.   It was almost as if the wait staff didn't care. As someone who's been in hotels all over the world- it didn't live up to its name and reputation. However, the food was delicious and very good.",3,Mar 2020
81,Suzy,"I write this to express my sincere gratitude for all the support the Taj Lands End team provided to us to make our event a success. It would not have been possible without the few who were involved in this event namely Mahakshay Bhavsar, Binoy P, Krutika Lalwani who took care of our wedding group so well and were there throughout for even the smallest queries so that our event could go on seamlessly. And Ankush & Tejal from front office too. At the end our guests were happy with their stay and were taken care of perfectly. I couldn't have asked for a better team! I look forward to working with you guys in the future.  Warm regards,  Suzanne :)",5,Mar 2020
